region,name,temp_range,init_mean_rcp85,min_mean_rcp85,max_mean_rcp85,avg_mean_rcp85,var_mean_rcp85,roc_mean_rcp85,init_mean_rcp45,min_mean_rcp45,max_mean_rcp45,avg_mean_rcp45,var_mean_rcp45,roc_mean_rcp45,init_mean_rcp26,min_mean_rcp26,max_mean_rcp26,avg_mean_rcp26,var_mean_rcp26,roc_mean_rcp26,range_mean_rcp85,range_mean_rcp45,range_mean_rcp26
20,barents sea,,1.5091851,1.5091851,5.8227415,3.4725406,1.728104652,0.04998600581,1.5994654,1.5994654,3.740196,2.7936294,0.3858472483,0.02352965546,2.8312368,2.662467,4.4478335,3.7341025,0.2101455529,0.01546052976,4.3135564,2.1407306,1.7853665
21,norwegian sea,2.484406948,6.4735055,6.329331,9.62055,7.8910565,1.003021337,0.03812909806,6.3006587,6.3006587,8.183782,7.377941,0.2883755278,0.02007644384,8.161649,8.050576,9.662843,9.012761,0.151710204,0.01186730399,3.291219,1.8831233,1.612267
22,north sea,0.5820703506,10.394508,10.29113,13.115791,11.646217,0.6873246898,0.03155512196,10.32799,10.32799,11.779051,11.220057,0.1482249542,0.01412439585,11.491203,11.293154,12.44936,11.925861,0.05247829451,0.005100353419,2.824661,1.451061,1.156206
23,baltic sea,,,,,,,,,,,,,,,,,,,,0,0,0
24,celtic-biscay shelf,1.975281239,13.1137295,12.999409,15.339375,14.037714,0.4188022437,0.02454364858,13.184298,13.107929,14.115562,13.676266,0.07306742325,0.009770639528,13.739082,13.249859,14.117334,13.7599125,0.03461487623,0.002905885984,2.339966,1.007633,0.867475
25,iberian coastal,1.964447021,17.06928,16.949757,19.461823,18.111464,0.5158428838,0.02728849241,17.131268,17.081848,18.181635,17.709421,0.1004480231,0.01159804869,17.208536,16.706306,17.575096,17.214184,0.04323111498,0.004618378037,2.512066,1.099787,0.86879
26,mediterranean sea,1.761049271,19.334549,19.242214,22.829306,20.888885,1.141541677,0.0407663219,19.222317,19.222317,20.905745,20.240644,0.2274946248,0.01788170854,19.886076,19.61831,20.8099,20.451704,0.07022143111,0.007496033048,3.587092,1.683428,1.19159
27,canary current,2.557081223,21.755121,21.675774,24.422493,22.9414,0.6472999457,0.0306660825,21.72346,21.638407,22.962687,22.419159,0.14334808,0.01411157445,22.123665,21.820425,22.711502,22.336142,0.05449785376,0.005978216471,2.746719,1.32428,0.891077
28,guinea current,0.731218338,28.422207,28.331675,31.428587,29.75149,0.8710556157,0.03560837901,28.36617,28.267515,29.670141,29.100315,0.1640312522,0.01510300982,28.332012,28.332012,29.161987,28.836367,0.03923539901,0.005600684422,3.096912,1.402626,0.829975
29,benguela current,4.791134834,23.24712,23.194693,26.077126,24.538858,0.7334991825,0.03264740082,23.28564,23.078577,24.455051,23.898712,0.1427111621,0.0139424784,23.111748,23.111748,24.154808,23.777824,0.03641198134,0.004889860953,2.882433,1.376474,1.04306
30,agulhas current,2.952600479,25.696617,25.623009,28.552351,26.962273,0.7633319524,0.03327867671,25.663387,25.617132,26.876421,26.366396,0.1419914929,0.01407147764,25.262604,25.262604,26.07228,25.828356,0.03268491931,0.004944550919,2.929342,1.259289,0.809676
31,somali coastal curret,0.4337463379,27.291832,27.15183,30.4326,28.675009,0.9577227268,0.03724333306,27.289467,27.156565,28.577301,28.00526,0.1697247095,0.01532072097,26.878506,26.878506,27.978493,27.497288,0.0513358518,0.006181369833,3.28077,1.420736,1.099987
32,arabian sea,1.41368866,26.960894,26.879192,30.22028,28.39426,1.021019504,0.0385084809,26.923336,26.839483,28.289635,27.696592,0.1947813066,0.01655325245,27.143143,27.103909,28.016083,27.649054,0.04741177241,0.006364291985,3.341088,1.450152,0.912174
33,red sea,,,,,,,,,,,,,,,,,,,,0,0,0
34,bay of bengal,0.3417930603,28.295431,28.27462,31.254042,29.595964,0.8171066347,0.03445386956,28.267942,28.267942,29.546745,29.012783,0.1714760018,0.01551534874,28.447418,28.447418,29.212656,28.951874,0.03880128676,0.005714398982,2.979422,1.278803,0.765238
35,gulf of thailand,0.2524986267,28.9075,28.869776,31.7692,30.181906,0.772218526,0.03347559689,28.919222,28.801384,30.14715,29.607363,0.1577614615,0.01477242526,28.962238,28.962238,29.88535,29.588326,0.04140760643,0.00526096909,2.899424,1.345766,0.923112
36,south china sea,1.503444672,27.977863,27.977863,30.867126,29.258318,0.7634577725,0.03330052612,27.949171,27.89208,29.22097,28.69481,0.1555956637,0.01469260448,27.986404,27.986404,28.933897,28.618378,0.04323569643,0.005174404806,2.889263,1.32889,0.947493
37,sulu-celebes sea,0.2196788788,29.103617,29.103617,32.05364,30.40415,0.7841343721,0.03372684167,29.037283,29.037283,30.30639,29.808992,0.1437821897,0.01411831031,29.092205,29.03256,29.910889,29.578312,0.0331966114,0.004055954801,2.950023,1.269107,0.878329
38,indonesian sea,0.3408536911,29.315636,29.315636,32.208622,30.606426,0.7727400384,0.03349509725,29.284771,29.284771,30.480722,30.009575,0.1376382441,0.01384459974,29.352308,29.309597,30.155447,29.824091,0.02938449358,0.004256033043,2.892986,1.195951,0.84585
39,north australian shelf,0.5581150055,28.331598,28.331598,31.241922,29.623322,0.7867394073,0.03375232317,28.312586,28.233559,29.52541,29.008757,0.1295774671,0.01340467589,28.641928,28.54917,29.389042,29.045404,0.03183287843,0.004134020444,2.910324,1.291851,0.839872
40,northeast australian shelf-great barrier reef,1.114309311,26.457724,26.457724,29.259947,27.689821,0.7010846059,0.03181710024,26.45656,26.40097,27.602457,27.11061,0.1157467226,0.01258306582,26.54291,26.538439,27.42421,27.012594,0.03257116818,0.003681605309,2.802223,1.201487,0.885771
41,east-central australian shelf,2.930373192,22.867144,22.867144,25.965609,24.215755,0.8204353615,0.03444179487,22.929682,22.840284,24.109953,23.596153,0.1417618788,0.01394810073,22.54174,22.54174,23.745163,23.20137,0.0450371916,0.004906400084,3.098465,1.269669,1.203423
42,southeast australian shelf,2.434358597,15.224415,15.150719,18.19218,16.459272,0.8749338296,0.03544558727,15.235225,15.198908,16.39782,15.8905325,0.1422635716,0.01394768047,14.671485,14.542197,15.5672655,15.121008,0.0539634953,0.003266334243,3.041461,1.198912,1.0250685
43,southwest australian shelf,1.033193588,17.023384,16.973093,19.398888,18.037088,0.5244448361,0.02746090509,17.000774,16.988373,18.099514,17.604748,0.1011538587,0.01191909449,16.498562,16.36668,17.114065,16.808083,0.03031126563,0.004280615475,2.425795,1.111141,0.747385
44,west-central australian shelf,2.921646118,22.52902,22.52902,25.148148,23.68539,0.5987905833,0.02934917372,22.476215,22.476215,23.632656,23.151947,0.1071696291,0.01204932262,22.773605,22.321701,23.30964,22.95759,0.03784431424,0.003945363922,2.619128,1.156441,0.987939
45,northwest australian shelf,1.364507675,27.911444,27.799269,30.930145,29.245977,0.8394589254,0.03489726966,27.787666,27.787666,29.132042,28.588495,0.1438348535,0.01415485605,28.069403,27.964287,28.84203,28.491383,0.03766549252,0.005244442457,3.130876,1.344376,0.877743
46,new zealand shelf,3.364695549,15.496599,15.398903,18.350235,16.681187,0.7433028854,0.03275458497,15.333324,15.333324,16.684458,16.181398,0.1321123341,0.01330341263,15.058511,14.8387785,15.841955,15.341169,0.04464787293,0.0028538557,2.951332,1.351134,1.0031765
47,east china sea,3.817440033,22.258162,22.207428,25.551088,23.756744,1.031840091,0.03874965239,22.174847,22.127815,23.80762,23.103373,0.2433145908,0.0184401169,22.60742,22.60742,23.831158,23.46617,0.07597304963,0.007870915078,3.34366,1.679805,1.223738
48,yellow sea,2.476575851,15.134799,15.064483,19.274982,17.045319,1.723603255,0.05007815467,15.020457,15.020457,17.10712,16.271534,0.4365704601,0.02448295335,16.476675,16.476675,18.233412,17.552046,0.150559137,0.01101206175,4.210499,2.086663,1.756737
49,kuroshio currrent,4.100687027,22.007957,21.986729,25.250744,23.430843,0.9572613901,0.03729716848,21.906616,21.835413,23.458776,22.791023,0.2234506765,0.01775806619,22.27004,22.27004,23.357203,22.977037,0.06350499095,0.005025367048,3.264015,1.623363,1.087163
50,sea of japan/east sea,5.529286385,12.60863,12.549662,16.77287,14.472219,1.660238068,0.04914375955,12.316833,12.316833,14.454244,13.620004,0.3947199863,0.02351072651,14.62239,14.612694,16.041395,15.572234,0.1173140708,0.009078058302,4.223208,2.137411,1.428701
51,oyahshio current,3.090526819,6.5903187,6.5903187,11.203814,8.674264,1.829402959,0.05144825412,6.4981594,6.4981594,8.790449,7.8824363,0.4367680153,0.02457407297,8.065584,8.065584,9.594914,8.805681,0.09840965412,0.005959214225,4.6134953,2.2922896,1.52933
52,sea of okhotsk,1.379844069,3.7828329,3.7828329,8.074853,5.749749,1.738617458,0.05016228846,3.789223,3.789223,5.859682,5.049479,0.3975369484,0.02355900583,5.4619465,5.3569746,6.9666543,6.2571135,0.1446721501,0.01149129893,4.2920201,2.070459,1.6096797
53,west bering sea,0.8171553612,4.1471896,4.120017,8.320268,6.062519,1.737619525,0.05018299595,4.2484818,4.164502,6.2592254,5.3679485,0.4276084096,0.024496209,4.800668,4.800668,6.195022,5.6175766,0.1176135879,0.01018715135,4.200251,2.0947234,1.394354
54,northern bering-chukchi seas,,0.40558574,0.23522933,3.9986794,1.820708,1.244285178,0.04209103392,0.37207204,0.33014962,1.8625249,1.1365051,0.1800033252,0.01578777044,0.4910391,0.2887702,1.4575425,0.86290306,0.07018366582,0.006067526696,3.76345007,1.53237528,1.1687723
55,beaufort sea,,,,,,,,,,,,,,-0.96588933,-1.0463175,0.09689586,-0.5518765,0.05316369883,0.004489458431,0,0,1.14321336
56,east siberian sea,,,,,,,,,,,,,,-1.2746933,-1.3771414,-0.5188835,-1.0224247,0.03360205823,0.003510014087,0,0,0.8582579
57,laptev sea,,,,,,,,,,,,,,-1.2971783,-1.4269446,-0.51492274,-0.9122194,0.04206239066,0.005155243748,0,0,0.91202186
58,kara sea,,,,,,,,,,,,,,-0.4269779,-0.67918664,0.817825,0.24190141,0.1315610642,0.01219742138,0,0,1.49701164
59,iceland shelf and sea,3.374931812,4.8515754,4.7288795,7.5225716,6.0199323,0.6418907591,0.03036238524,4.873512,4.830906,6.2238503,5.589347,0.1261855634,0.01263051784,6.1889734,6.0357304,7.653179,6.9370685,0.09610318901,0.004496412964,2.7936921,1.3929443,1.6174486
60,faroe plateau,1.245756149,10.058509,9.910473,11.86331,10.750723,0.247473914,0.0186809228,10.048424,9.938414,10.917607,10.462736,0.04869876314,0.007616190352,11.561735,11.05158,12.117365,11.626153,0.04275223299,-0.0008033368099,1.952837,0.979193,1.065785
61,antarctic,,-0.66278565,-0.6854977,0.089812346,-0.37601513,0.05237187238,0.00856522704,-0.6831714,-0.6984176,-0.3840473,-0.52920634,0.007986691804,0.00327359446,-0.8332075,-0.9855524,-0.7285469,-0.8424415,0.003150882552,0.0005865791832,0.775310046,0.3143703,0.2570055
62,black sea,,,,,,,,,,,,,,,,,,,,0,0,0
63,hudson bay complex,,1.286226,1.1460985,4.9254403,2.693993,1.239377685,0.04205811251,1.1024908,1.1024908,2.6025605,1.9877862,0.2003669373,0.01664960847,1.2688127,1.2185001,2.4772305,1.9877204,0.08619127075,0.007511708516,3.7793418,1.5000697,1.2587304
64,central arctic ocean,,,,,,,,,,,,,,-1.7810868,-1.7991586,-1.4585165,-1.6465241,0.005797172945,0.002445253429,0,0,0.3406421
65,aleutian islands,0.2802801132,6.3275394,6.247079,10.017366,7.9818883,1.359301564,0.04432236436,6.2935576,6.2895823,8.154867,7.3502665,0.3204366386,0.02113603377,6.65003,6.326473,7.85386,7.2857404,0.1038430238,0.01013367201,3.770287,1.8652847,1.527387
66,canadian high arctic-north greenland,,,,,,,,,,,,,,-1.8112267,-1.8112267,-1.5085795,-1.6812881,0.005140027845,0.001815967683,0,0,0.3026472
